 ip.proto, ip.itl, ip.ttl, ip.len, ip.id/udp/tcp.sport, udp.len/tcp.window, label,type
17,5,2,202,3784,3844,182,2
17,5,2,202,31688,3844,182,2
17,5,2,202,46722,3844,182,2
17,5,2,202,31213,3844,182,2
17,5,2,202,35999,3844,182,2
17,5,2,202,42682,3844,182,2
17,5,2,202,5403,3844,182,2
17,5,2,202,48275,3844,182,2
17,5,2,202,24489,3844,182,2
17,5,2,202,42215,3844,182,2
17,5,2,202,59527,3844,182,2
17,5,2,202,9588,3844,182,2
17,5,2,202,45513,3844,182,2
17,5,2,202,44500,3844,182,2
17,5,2,202,27616,3844,182,2
17,5,2,202,22921,3844,182,2
17,5,2,202,34795,3844,182,2
17,5,2,202,46770,3844,182,2
17,5,2,202,63786,3844,182,2
17,5,2,202,36640,3844,182,2
17,5,2,202,12608,3844,182,2
17,5,2,202,20818,3844,182,2
17,5,2,202,16646,3844,182,2
17,5,2,202,50696,3844,182,2
17,5,2,202,42487,3844,182,2
17,5,2,202,32717,3844,182,2
17,5,2,202,48272,3844,182,2
17,5,2,202,54027,3844,182,2
17,5,2,202,53105,3844,182,2
17,5,2,202,28865,3844,182,2
17,5,2,202,45653,3844,182,2
17,5,2,202,45823,3844,182,2
17,5,2,202,11055,3844,182,2
17,5,2,202,28430,3844,182,2
17,5,2,202,7461,3844,182,2
17,5,2,202,10298,3844,182,2
17,5,2,202,18128,3844,182,2
17,5,2,202,47525,3844,182,2
2,6,1,32,58941,0,0,2
17,5,2,202,13585,3844,182,2
17,5,2,202,42282,3844,182,2
17,5,2,202,26452,3844,182,2
17,5,2,202,22973,3844,182,2
17,5,2,202,60776,3844,182,2
17,5,2,202,64680,3844,182,2
17,5,2,202,22440,3844,182,2
17,5,2,202,31993,3844,182,2
17,5,2,202,57746,3844,182,2
17,5,2,202,4276,3844,182,2
17,5,2,202,41369,3844,182,2
17,5,2,202,33038,3844,182,2
17,5,2,202,40307,3844,182,2
17,5,2,202,24947,3844,182,2
17,5,2,202,57294,3844,182,2
17,5,2,202,6919,3844,182,2
17,5,2,202,42769,3844,182,2
17,5,2,202,10788,3844,182,2
17,5,2,202,31526,3844,182,2
17,5,2,202,41263,3844,182,2
17,5,2,202,55473,3844,182,2
17,5,2,202,40418,3844,182,2
17,5,2,202,22890,3844,182,2
17,5,2,202,24200,3844,182,2
17,5,2,202,4761,3844,182,2
17,5,2,202,20305,3844,182,2
17,5,2,202,36894,3844,182,2
17,5,2,202,28593,3844,182,2
17,5,2,202,23810,3844,182,2
17,5,2,202,54352,3844,182,2
17,5,2,202,8721,3844,182,2
17,5,2,202,31019,3844,182,2
17,5,2,202,53586,3844,182,2
17,5,2,202,54260,3844,182,2
